Date,home_team,away_team,total_runs,home_runs,away_runs,home_off_roll5,home_def_roll5,home_off_roll10,home_def_roll10,home_off_roll20,home_def_roll20,away_off_roll5,away_def_roll5,away_off_roll10,away_def_roll10,away_off_roll20,away_def_roll20,pred_home_runs,lambda_home,lambda_away,p_over_poisson,actual_total,actual_over,prob_bucket,p_over_negbin,prob_bucket_nb,lambda_home_cal,lambda_away_cal,p_over_cal
2025-08-17,CLE,ATL,9.0,4.0,5.0,3.6,6.4,4.1,4.7,4.5,4.25,6.4,4.6,6.3,4.2,4.95,5.15,4.386357203518952,4.386357203518952,4.568940324861521,0.5304,9.0,1,"(0.5, 0.55]",0.4945,"(0.45, 0.5]",4.386357203518945,4.568940324861514,0.5033
2025-08-17,NYM,SEA,10.0,7.0,3.0,6.8,6.4,4.9,5.6,4.8,5.15,3.8,4.2,5.1,3.9,4.4,3.8,4.3514836987731425,4.3514836987731425,4.924406075963667,0.57,10.0,1,"(0.55, 0.6]",0.5425,"(0.5, 0.55]",4.351483698773135,4.924406075963659,0.5388
2025-08-17,BOS,MIA,8.0,3.0,5.0,6.0,3.6,5.9,4.0,5.7,3.5,5.2,5.2,4.5,5.7,4.4,5.05,4.922109902567677,4.922109902567677,4.2188392019407255,0.5648,8.0,0,"(0.55, 0.6]",0.5241,"(0.5, 0.55]",4.922109902567669,4.218839201940719,0.5226
2025-08-17,WSN,PHI,20.0,9.0,11.0,4.0,4.6,3.6,4.3,4.1,6.0,1.8,4.2,3.0,3.2,4.15,3.6,4.1075765000910085,4.1075765000910085,4.319206728444499,0.467,20.0,1,"(0.45, 0.5]",0.4491,"(0.0, 0.45]",4.107576500091002,4.319206728444492,0.4522
2025-08-18,DET,HOU,10.0,10.0,0.0,4.6,4.4,4.8,4.9,5.15,4.25,2.4,8.0,4.2,5.7,3.7,5.6,4.847159553137454,4.847159553137454,4.532129980684912,0.5922,10.0,1,"(0.55, 0.6]",0.5479,"(0.5, 0.55]",4.8471595531374465,4.532129980684905,0.5453
2025-08-18,KCR,TEX,7.0,4.0,3.0,6.0,3.6,5.2,4.0,5.6,4.6,4.6,6.6,3.2,5.2,3.9,4.55,4.776433919022033,4.776433919022033,4.172820247632294,0.5319,7.0,0,"(0.5, 0.55]",0.5039,"(0.5, 0.55]",4.7764339190220255,4.172820247632288,0.5044
2025-08-18,SDP,SFG,7.0,3.0,4.0,4.4,3.2,3.9,3.7,4.65,3.55,3.2,5.2,2.8,4.4,3.9,4.65,4.453031906612601,4.453031906612601,4.053563782347171,0.4876,7.0,0,"(0.45, 0.5]",0.454,"(0.45, 0.5]",4.453031906612594,4.053563782347164,0.4527
2025-08-18,CHC,MIL,7.0,0.0,7.0,2.8,2.0,3.2,2.5,3.6,3.25,10.0,4.0,7.5,3.3,7.55,4.0,4.072814840650287,4.072814840650287,3.910555071894429,0.4012,7.0,0,"(0.0, 0.45]",0.3963,"(0.0, 0.45]",4.072814840650281,3.910555071894423,0.4012
2025-08-18,COL,LAD,7.0,4.0,3.0,5.6,5.6,4.5,5.6,4.7,7.85,4.6,3.8,5.6,3.7,4.4,3.25,4.2923128351356254,4.2923128351356254,4.924406075963667,0.5791,7.0,0,"(0.55, 0.6]",0.5311,"(0.5, 0.55]",4.292312835135618,4.924406075963659,0.5344
2025-08-18,BOS,BAL,9.0,3.0,6.0,5.4,3.2,5.4,4.0,5.55,3.7,5.6,1.4,4.1,2.9,5.6,3.55,4.2077780640868685,4.2077780640868685,4.331365997634642,0.4813,9.0,1,"(0.45, 0.5]",0.4599,"(0.45, 0.5]",4.207778064086862,4.331365997634635,0.4554
