Date,home_team,away_team,total_runs,home_runs,away_runs,home_off_roll5,home_def_roll5,home_off_roll10,home_def_roll10,home_off_roll20,home_def_roll20,away_off_roll5,away_def_roll5,away_off_roll10,away_def_roll10,away_off_roll20,away_def_roll20,game_date,home_SP_name,home_SP_K_pct_talent,home_SP_BB_pct_talent,home_SP_whiff_pct_talent,away_SP_name,away_SP_K_pct_talent,away_SP_BB_pct_talent,away_SP_whiff_pct_talent,home_bp_K_pct_roll10,home_bp_BB_pct_roll10,home_bp_whiff_pct_roll10,home_bp_K_pct_talent,home_bp_BB_pct_talent,home_bp_whiff_pct_talent,away_bp_K_pct_roll10,away_bp_BB_pct_roll10,away_bp_whiff_pct_roll10,away_bp_K_pct_talent,away_bp_BB_pct_talent,away_bp_whiff_pct_talent
2025-07-20,PIT,CHW,9.0,2.0,7.0,2.4,7.0,2.1,5.4,3.7,4.05,5.2,3.2,4.9,4.1,3.7,4.15,2025-07-20,Andrew Heaney,0.1714331936690261,0.0794543393022326,0.1718424094708509,Aaron Civale,0.1575717737967682,0.089059654921268,0.1729543200136683,0.21197868260771485,0.05239392059553348,0.24038098892471854,0.2077498789045771,0.07966163795376491,0.22997602432862854,0.21608630161261738,0.10254009392167285,0.23977571245581183,0.21250031325364938,0.09356720375124551,0.22910168902957084
2025-07-21,PIT,DET,3.0,3.0,0.0,2.6,8.0,2.3,6.0,3.55,4.2,2.8,6.0,3.0,5.2,4.35,4.55,2025-07-21,Braxton Ashcraft,0.2107822732822732,0.1117424242424242,0.1972158322733035,Jack Flaherty,0.2938167454656887,0.097014063022274,0.2620226894850349,0.2300782301190271,0.0447016129032258,0.25591670321043286,0.20981063473263548,0.07885697494413091,0.2311162376470984,0.23517952635599695,0.07240578049401578,0.23824188590872106,0.2049120050707098,0.0697461369390916,0.2080751478145844
2025-07-22,PIT,DET,13.0,8.0,5.0,2.4,5.6,2.6,5.9,3.55,3.75,1.4,3.6,2.9,5.5,3.8,4.5,2025-07-22,Mitch Keller,0.1824050868616085,0.0550710119188379,0.1675825935538806,Casey Mize,0.2132145234998495,0.0572343686406186,0.211068913115376,0.2444721695129665,0.05303494623655912,0.26104490833863797,0.21187919505197578,0.07890173852802293,0.23265122911678127,0.25422714540361596,0.06526292335115863,0.25074188590872104,0.20619621835333604,0.06904867556970068,0.20932772966977187
2025-07-26,PIT,ARI,2.0,2.0,0.0,4.6,4.6,3.4,5.2,3.7,3.8,4.4,3.4,4.7,4.1,4.45,3.9,2025-07-26,Andrew Heaney,0.1650354470290531,0.0798294484240775,0.171821717568737,Merrill Kelly,0.2421304474546274,0.0766127985922036,0.2262811853124019,0.3026864552272522,0.06892780337941626,0.2868479061082042,0.21645691613922752,0.07875342159447442,0.2350627120484145,0.19301822573561703,0.058321256038647316,0.24329897549099094,0.2247279166274113,0.08025671864983372,0.23957751272265052
2025-07-27,PIT,ARI,6.0,6.0,0.0,4.2,2.6,3.3,4.8,3.35,3.7,2.4,3.6,4.4,3.9,4.25,3.7,2025-07-27,Carmen Mlodzinski,0.1911764567466321,0.0586978810663021,0.2017056420533797,Zac Gallen,0.2235870049741685,0.0870429145273865,0.2270833352840696,0.2960197885605855,0.07559447004608293,0.27860614786644594,0.21758072784301702,0.07863720279709165,0.2361308960301975,0.19997474747474747,0.06527777777777777,0.2535756553328882,0.2244924126595312,0.08139713085316862,0.24075902558849538
2025-08-05,PIT,SFG,9.0,1.0,8.0,7.6,7.0,6.6,4.6,4.6,5.25,5.6,6.0,5.1,4.8,4.35,5.15,2025-08-05,Braxton Ashcraft,0.2098769286269286,0.1083603896103896,0.216702458620562,Logan Webb,0.2648034582442378,0.0578205940874606,0.2368154573196299,0.2400949245778468,0.05766076323002316,0.21584766600292715,0.2182679607867759,0.0762340183618848,0.23286127068576284,0.21770888402776944,0.09940035601722906,0.21578684001754866,0.23746318652539974,0.07216234903002618,0.23043370658402912
2025-08-06,PIT,SFG,6.0,2.0,4.0,7.2,8.4,5.9,4.9,4.5,5.2,6.2,5.0,5.0,4.9,4.45,5.1,2025-08-06,Andrew Heaney,0.1626584871981291,0.075097478365323,0.1704329440785598,Robbie Ray,0.2546939773282842,0.0990423911538003,0.259065579112215,0.23890444838737052,0.04742266799192793,0.21631206228775685,0.21844342341782427,0.07598078853230217,0.2334033625120731,0.21946326999268173,0.10524830923360333,0.21204352450952726,0.23831159490423104,0.07250702834047827,0.23047671907131256
2025-08-07,PIT,CIN,7.0,7.0,0.0,4.4,5.8,5.5,5.2,4.45,5.2,2.8,3.0,3.3,3.0,3.95,3.25,2025-08-07,Paul Skenes,0.2860296703889381,0.0635473047203223,0.288026597441279,Brady Singer,0.2212911990951649,0.0930622940671594,0.2087986076314979,0.2205711150540372,0.05075600132526127,0.19964539562109018,0.21784304251065037,0.0761914833697381,0.2329304135381705,0.21873381574852163,0.08293985371926546,0.23592163938822072,0.2161846360113329,0.09473884478195974,0.22490125900920144
2025-08-08,PIT,CIN,5.0,3.0,2.0,4.8,4.2,6.0,5.2,4.65,5.0,2.2,4.0,2.7,3.5,3.85,3.45,2025-08-08,Mitch Keller,0.1841962315497286,0.0641976136305058,0.1776411090666345,Chase Burns,0.3666928309785452,0.0939438339438339,0.2755410891840461,0.21148020596312814,0.05075600132526127,0.19618219215788674,0.2183202966864471,0.07552894873174039,0.23297532505605809,0.1930195300342359,0.09722556800497975,0.23469786316444452,0.21553572014271177,0.09516467042864277,0.2255256243759744
2025-08-09,PIT,CIN,3.0,1.0,2.0,3.6,3.6,5.7,5.4,4.75,5.0,2.2,3.8,2.7,3.7,3.75,3.45,2025-08-09,Carmen Mlodzinski,0.2084373029947192,0.0530760441047522,0.2006188510103155,Nick Martinez,0.1717504791315532,0.0539447014291003,0.1755894137121977,0.2448135392964615,0.04408933465859461,0.22913673761243217,0.22074856999087425,0.07487783710474262,0.23488541237924251,0.19649175225645812,0.08958667911609086,0.22560695407353543,0.215594373669725,0.09530455148726091,0.22434477759117719
