game_date,game_pk,bp_batters_faced,bp_strikeouts,bp_walks,bp_swings,bp_whiffs,bp_pitches,team,bp_K_pct,bp_BB_pct,bp_whiff_pct
2025-08-08,776825,11,2,1,18,7,37,AZ,0.18181818181818182,0.09090909090909091,0.3888888888888889
2025-08-09,776809,13,4,1,23,7,42,AZ,0.3076923076923077,0.07692307692307693,0.30434782608695654
2025-08-10,776794,17,3,1,40,11,76,AZ,0.17647058823529413,0.058823529411764705,0.275
2025-08-11,776785,17,2,0,34,7,63,AZ,0.11764705882352941,0.0,0.20588235294117646
2025-08-12,776764,21,3,2,34,6,95,AZ,0.14285714285714285,0.09523809523809523,0.17647058823529413
2025-08-13,776746,16,1,2,35,4,71,AZ,0.0625,0.125,0.11428571428571428
2025-08-14,776742,9,2,0,21,3,36,AZ,0.2222222222222222,0.0,0.14285714285714285
2025-08-15,776730,7,2,2,11,4,29,AZ,0.2857142857142857,0.2857142857142857,0.36363636363636365
2025-08-16,776715,11,2,2,28,7,49,AZ,0.18181818181818182,0.18181818181818182,0.25
2025-08-17,776701,17,2,0,31,6,63,AZ,0.11764705882352941,0.0,0.1935483870967742
2025-08-18,776682,9,1,0,19,5,35,AZ,0.1111111111111111,0.0,0.2631578947368421
2025-08-19,776672,13,1,2,20,5,50,AZ,0.07692307692307693,0.15384615384615385,0.25
2025-08-20,776658,10,5,1,22,9,48,AZ,0.5,0.1,0.4090909090909091
2025-08-22,776635,15,1,0,24,3,51,AZ,0.06666666666666667,0.0,0.125
2025-08-23,776622,33,5,3,53,12,126,AZ,0.15151515151515152,0.09090909090909091,0.22641509433962265
2025-08-24,776609,18,0,3,21,0,50,AZ,0.0,0.16666666666666666,0.0
2025-08-25,776593,22,6,1,34,6,88,AZ,0.2727272727272727,0.045454545454545456,0.17647058823529413
2025-08-26,776586,25,4,3,45,9,107,AZ,0.16,0.12,0.2
2025-08-27,776572,14,3,2,24,7,61,AZ,0.21428571428571427,0.14285714285714285,0.2916666666666667
2025-08-28,776553,14,3,2,23,6,66,AZ,0.21428571428571427,0.14285714285714285,0.2608695652173913
2025-08-29,776534,11,2,1,23,5,50,AZ,0.18181818181818182,0.09090909090909091,0.21739130434782608
2025-08-30,776523,12,3,1,20,5,48,AZ,0.25,0.08333333333333333,0.25
2025-08-31,776509,13,5,1,27,4,56,AZ,0.38461538461538464,0.07692307692307693,0.14814814814814814
2025-09-01,776495,18,3,2,39,8,84,AZ,0.16666666666666666,0.1111111111111111,0.20512820512820512
2025-09-02,776481,13,2,2,20,2,63,AZ,0.15384615384615385,0.15384615384615385,0.1
2025-09-03,776468,12,2,2,20,3,51,AZ,0.16666666666666666,0.16666666666666666,0.15
2025-09-05,776448,14,4,1,27,10,60,AZ,0.2857142857142857,0.07142857142857142,0.37037037037037035
2025-09-06,776424,10,2,0,15,2,30,AZ,0.2,0.0,0.13333333333333333
2025-09-07,776415,18,3,1,27,9,65,AZ,0.16666666666666666,0.05555555555555555,0.3333333333333333
2025-09-08,776399,20,3,1,39,6,71,AZ,0.15,0.05,0.15384615384615385
2025-09-09,776394,4,2,0,11,4,22,AZ,0.5,0.0,0.36363636363636365
2025-09-10,776374,12,0,1,25,6,52,AZ,0.0,0.08333333333333333,0.24
2025-09-12,776355,18,3,3,31,6,74,AZ,0.16666666666666666,0.16666666666666666,0.1935483870967742
2025-09-13,776337,19,5,1,42,11,81,AZ,0.2631578947368421,0.05263157894736842,0.2619047619047619
2025-09-14,776324,20,4,2,33,5,90,AZ,0.2,0.1,0.15151515151515152
2025-09-15,776309,10,4,1,17,8,43,AZ,0.4,0.1,0.47058823529411764
2025-09-16,776294,12,1,0,18,2,40,AZ,0.08333333333333333,0.0,0.1111111111111111
2025-09-17,776279,11,4,1,27,7,47,AZ,0.36363636363636365,0.09090909090909091,0.25925925925925924
2025-09-19,776255,24,7,2,39,10,104,AZ,0.2916666666666667,0.08333333333333333,0.2564102564102564
2025-09-20,776246,9,1,0,17,3,37,AZ,0.1111111111111111,0.0,0.17647058823529413
2025-09-21,776230,15,3,2,24,6,49,AZ,0.2,0.13333333333333333,0.25
2025-09-23,776213,10,2,0,16,3,35,AZ,0.2,0.0,0.1875
2025-09-24,776193,18,4,1,29,6,64,AZ,0.2222222222222222,0.05555555555555555,0.20689655172413793
2025-09-25,776185,40,9,4,74,13,159,AZ,0.225,0.1,0.17567567567567569
2025-09-26,776170,18,5,2,35,9,67,AZ,0.2777777777777778,0.1111111111111111,0.2571428571428571
2025-09-27,776152,8,1,1,17,3,40,AZ,0.125,0.125,0.17647058823529413
2025-09-28,776136,21,4,4,45,6,97,AZ,0.19047619047619047,0.19047619047619047,0.13333333333333333
2025-03-27,778545,14,2,0,26,5,59,ATL,0.14285714285714285,0.0,0.19230769230769232
2025-03-28,778542,10,2,0,12,3,26,ATL,0.2,0.0,0.25
2025-03-29,778520,10,3,0,12,2,34,ATL,0.3,0.0,0.16666666666666666
2025-03-30,778514,16,5,3,27,9,69,ATL,0.3125,0.1875,0.3333333333333333
2025-03-31,778500,19,4,2,35,8,81,ATL,0.21052631578947367,0.10526315789473684,0.22857142857142856
2025-04-01,778487,10,2,0,33,6,49,ATL,0.2,0.0,0.18181818181818182
2025-04-02,778472,20,5,2,42,10,75,ATL,0.25,0.1,0.23809523809523808
2025-04-04,778464,5,2,0,8,0,20,ATL,0.4,0.0,0.0
2025-04-05,778451,17,4,2,31,7,67,ATL,0.23529411764705882,0.11764705882352941,0.22580645161290322
2025-04-08,778406,16,4,3,28,9,68,ATL,0.25,0.1875,0.32142857142857145
2025-04-09,778393,21,8,1,43,14,94,ATL,0.38095238095238093,0.047619047619047616,0.32558139534883723
2025-04-10,778384,21,5,4,40,16,95,ATL,0.23809523809523808,0.19047619047619047,0.4
2025-04-11,778367,9,2,1,18,4,34,ATL,0.2222222222222222,0.1111111111111111,0.2222222222222222
