game_date,game_pk,batters_faced,strikeouts,walks,swings,whiffs,pitches,pitcher_team,home_team,away_team,pitcher_name,mlbam_id,K_pct,BB_pct,whiff_pct
2026-04-10,824534,27,2,4,40,8,92,CIN,CIN,LAA,Chase Burns,695505,0.07407407407407407,0.14814814814814814,0.2
2026-04-16,824530,18,4,1,46,7,87,CIN,CIN,SF,Chase Burns,695505,0.2222222222222222,0.05555555555555555,0.15217391304347827
2026-04-21,822995,23,8,2,45,14,97,CIN,TB,CIN,Chase Burns,695505,0.34782608695652173,0.08695652173913043,0.3111111111111111
2026-04-28,824526,26,9,1,55,20,97,CIN,CIN,COL,Chase Burns,695505,0.34615384615384615,0.038461538461538464,0.36363636363636365
2026-05-03,823387,24,7,1,46,14,94,CIN,PIT,CIN,Chase Burns,695505,0.2916666666666667,0.041666666666666664,0.30434782608695654
2026-05-09,824523,23,2,3,39,8,87,CIN,CIN,HOU,Chase Burns,695505,0.08695652173913043,0.13043478260869565,0.20512820512820512
2026-05-14,824517,23,7,2,50,18,95,CIN,CIN,WSH,Chase Burns,695505,0.30434782608695654,0.08695652173913043,0.36
2026-05-19,823464,20,9,0,42,17,86,CIN,PHI,CIN,Chase Burns,695505,0.45,0.0,0.40476190476190477
2026-05-26,823624,22,8,2,40,10,90,CIN,NYM,CIN,Chase Burns,695505,0.36363636363636365,0.09090909090909091,0.25
2026-06-03,824509,24,9,1,48,18,98,CIN,CIN,KC,Chase Burns,695505,0.375,0.041666666666666664,0.375
2026-06-09,823290,24,7,2,48,12,105,CIN,SD,CIN,Chase Burns,695505,0.2916666666666667,0.08333333333333333,0.25
2026-06-15,824505,22,7,3,55,17,100,CIN,CIN,NYM,Chase Burns,695505,0.3181818181818182,0.13636363636363635,0.3090909090909091
2026-06-21,823531,21,7,3,53,13,96,CIN,NYY,CIN,Chase Burns,695505,0.3333333333333333,0.14285714285714285,0.24528301886792453
2026-06-27,823364,27,10,0,49,15,93,CIN,PIT,CIN,Chase Burns,695505,0.37037037037037035,0.0,0.30612244897959184
2026-03-27,824216,26,6,2,45,10,94,HOU,HOU,LAA,Mike Burrows,681347,0.23076923076923078,0.07692307692307693,0.2222222222222222
2026-04-01,824211,24,6,3,41,13,84,HOU,HOU,BOS,Mike Burrows,681347,0.25,0.125,0.3170731707317073
2026-04-07,824375,23,3,1,41,7,87,HOU,COL,HOU,Mike Burrows,681347,0.13043478260869565,0.043478260869565216,0.17073170731707318
2026-04-13,823153,30,3,1,58,17,98,HOU,SEA,HOU,Mike Burrows,681347,0.1,0.03333333333333333,0.29310344827586204
2026-04-19,824205,19,7,2,36,10,87,HOU,HOU,STL,Mike Burrows,681347,0.3684210526315789,0.10526315789473684,0.2777777777777778
2026-04-25,824203,21,8,3,39,13,92,HOU,HOU,NYY,Mike Burrows,681347,0.38095238095238093,0.14285714285714285,0.3333333333333333
2026-05-01,824772,26,3,1,50,9,94,HOU,BOS,HOU,Mike Burrows,681347,0.11538461538461539,0.038461538461538464,0.18
2026-05-08,824522,25,6,1,44,7,98,HOU,CIN,HOU,Mike Burrows,681347,0.24,0.04,0.1590909090909091
2026-05-14,824196,27,4,3,50,11,102,HOU,HOU,SEA,Mike Burrows,681347,0.14814814814814814,0.1111111111111111,0.22
2026-05-20,823703,27,2,3,45,7,89,HOU,MIN,HOU,Mike Burrows,681347,0.07407407407407407,0.1111111111111111,0.15555555555555556
